"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2012","Reds","-24.7","1.6","6.6","3.7","-23.1","10.2","0.7","26.4","14.2","1.5"
"2011","Dodgers","-23.5","8.6","-6.9","6.4","-14.9","-0.5","1.6","35.7","21.9","2.3"
"2014","Nationals","-12.4","3.1","4.2","2.4","-9.3","6.6","1.1","16.2","14.6","1.6"
"2014","Rangers","-17.9","-0.3","1.4","1.0","-18.2","2.5","2.5","21.4","8.1","0.9"
"2010","Blue Jays","-25.4","0.7","11.3","2.8","-24.7","14.2","4.8","25.1","19.3","2.0"
"2018","Pirates","-27.5","3.8","-3.8","3.0","-23.7","-0.8","1.8","33.0","10.3","1.1"
"2013","Athletics","-17.8","-0.7","-10.0","3.3","-18.4","-6.7","3.1","23.2","1.2","0.1"
"2014","Marlins","-22.4","3.1","-3.8","0.6","-19.3","-3.2","2.2","30.7","10.3","1.1"
"2015","Braves","-18.1","1.6","4.5","2.8","-16.5","7.3","1.3","21.6","13.7","1.5"
"2018","Angels","-19.7","1.5","23.4","2.8","-18.2","26.2","2.7","25.5","36.2","3.7"
"2015","Yankees","-19.9","-3.6","-7.4","2.4","-23.4","-4.9","2.6","22.2","-3.5","-0.4"
"2013","Mariners","-21.3","5.1","-1.8","3.2","-16.3","1.4","3.8","27.7","16.7","1.8"
"2012","Royals","-21.6","-2.5","-10.3","2.2","-24.1","-8.1","3.4","23.4","-5.4","-0.6"
"2012","White Sox","-22.5","-2.8","5.7","2.2","-25.3","7.9","3.1","21.7","7.5","0.8"
"2010","Indians","-30.3","3.5","-15.5","3.9","-26.8","-11.6","6.2","32.6","0.3","0.0"
"2018","Tigers","-29.6","3.2","-12.2","0.3","-26.4","-11.9","3.3","31.2","-3.8","-0.4"
"2015","Royals","-23.3","-1.4","-1.7","2.3","-24.7","0.5","2.9","24.5","3.2","0.3"
"2012","Cardinals","-25.8","6.3","-9.4","3.6","-19.5","-5.8","0.7","27.9","3.3","0.3"
"2011","Rockies","-43.1","2.2","2.2","3.6","-40.8","5.8","1.2","28.0","-5.8","-0.6"
"2013","Marlins","-17.7","-1.5","0.9","2.6","-19.3","3.5","1.0","19.9","5.2","0.6"
"2017","Rays","-22.4","-1.8","-6.3","1.9","-24.1","-4.4","2.5","23.5","-2.5","-0.2"
"2014","Blue Jays","-25.9","-0.3","5.2","3.9","-26.2","9.1","3.3","28.4","14.6","1.6"
"2019","Athletics","-20.6","1.7","0.2","1.1","-18.9","1.3","2.7","21.3","6.3","0.6"
"2012","Blue Jays","-26.4","-2.9","-3.2","2.1","-29.3","-1.1","3.4","23.6","-3.3","-0.3"
"2014","Yankees","-19.8","-3.3","-5.1","2.7","-23.0","-2.3","2.6","22.3","-0.5","-0.1"
"2011","Twins","-31.9","6.5","-0.3","0.9","-25.4","0.6","4.0","28.7","7.9","0.8"
"2014","Cardinals","-22.6","7.7","0.3","2.9","-14.9","3.2","1.7","24.4","14.4","1.6"
"2014","Giants","-16.2","2.6","0.1","2.8","-13.6","3.0","1.5","20.6","11.4","1.2"
"2014","Royals","-20.5","5.5","-0.6","1.9","-15.1","1.3","2.4","20.5","9.1","1.0"
"2013","White Sox","-31.5","-4.0","-3.9","0.4","-35.5","-3.5","3.8","27.8","-7.5","-0.8"
"2011","Giants","-23.4","2.1","-7.1","4.0","-21.3","-3.1","1.2","27.2","4.0","0.4"
"2011","White Sox","-27.5","3.2","0.6","2.6","-24.3","3.3","3.0","21.7","3.6","0.4"
"2016","Braves","-36.0","-3.9","-9.9","2.9","-39.9","-6.9","0.9","29.6","-16.3","-1.7"
"2013","Nationals","-26.6","2.0","-3.0","2.0","-24.6","-1.0","1.2","24.8","0.5","0.1"
"2018","Padres","-33.2","-2.3","-6.4","0.7","-35.5","-5.7","1.7","32.1","-7.4","-0.8"
"2014","Indians","-27.6","6.8","-13.2","1.9","-20.8","-11.3","3.2","27.4","-1.5","-0.2"
"2012","Twins","-30.8","3.9","4.3","4.7","-26.9","8.9","4.0","27.7","13.7","1.4"
"2011","Royals","-29.3","3.2","-1.9","2.6","-26.1","0.6","3.3","23.8","1.6","0.2"
"2013","Blue Jays","-35.7","-4.1","-11.0","0.9","-39.8","-10.1","4.0","29.7","-16.3","-1.8"
"2012","Cubs","-26.2","5.5","8.7","2.3","-20.7","11.0","0.5","20.2","11.0","1.2"
"2011","Blue Jays","-28.6","2.0","0.3","3.3","-26.6","3.6","3.0","21.9","2.0","0.2"
"2018","Giants","-31.1","0.6","-0.7","2.9","-30.4","2.1","1.6","29.3","2.6","0.3"
