"Season","Team","Bat","BsR","Fld","Pos","Off","Def","Lg","Rep","RAR","WAR"
"2014","Red Sox","-22.7","4.5","13.5","0.3","-18.2","13.8","2.9","24.9","23.3","2.6"
"2010","Mariners","-15.1","3.0","7.5","1.5","-12.0","9.1","3.7","19.5","20.3","2.1"
"2019","Rays","-18.8","4.5","6.2","1.1","-14.3","7.3","2.8","22.5","18.3","1.8"
"2012","Padres","-11.2","6.2","0.8","2.0","-5.1","2.8","0.4","17.0","15.1","1.6"
"2016","Blue Jays","-21.6","3.5","13.8","1.1","-18.0","14.9","3.2","22.6","22.7","2.3"
"2010","Nationals","-23.7","5.3","4.8","1.4","-18.4","6.1","0.5","21.0","9.1","0.9"
"2015","Athletics","-22.4","6.6","-4.1","-0.5","-15.7","-4.6","3.3","27.7","10.6","1.1"
"2014","Reds","-16.3","7.2","11.2","1.8","-9.1","13.0","1.3","18.1","23.2","2.5"
"2011","Giants","-17.5","5.7","14.7","0.5","-11.8","15.2","1.0","23.7","28.2","3.0"
"2018","Tigers","-24.9","4.4","23.1","-1.4","-20.5","21.7","2.7","25.4","29.3","3.0"
"2017","Reds","-29.1","10.1","5.2","1.9","-18.9","7.0","1.3","21.5","11.0","1.1"
"2012","Red Sox","-34.0","5.3","-0.6","-2.2","-28.6","-2.8","4.3","29.7","2.6","0.3"
"2018","Mariners","-25.6","2.2","-15.0","1.7","-23.4","-13.3","3.2","30.6","-2.8","-0.3"
"2018","Giants","-27.2","2.6","-13.3","-0.4","-24.6","-13.7","1.6","29.1","-7.7","-0.8"
"2017","Mariners","-29.8","3.9","8.1","-1.7","-25.9","6.4","3.1","29.6","13.3","1.3"
"2019","Orioles","-31.4","2.4","-6.7","-0.2","-29.0","-6.9","3.1","25.0","-7.7","-0.7"
"2019","Mets","-24.9","2.4","-5.5","0.0","-22.5","-5.4","0.7","22.8","-4.4","-0.4"
"2014","Padres","-19.5","-1.6","10.7","-0.6","-21.1","10.1","1.7","23.4","14.0","1.5"
"2010","Indians","-31.3","4.2","-18.7","0.0","-27.1","-18.7","5.3","28.0","-12.6","-1.3"
"2018","Indians","-31.2","7.5","4.4","-1.9","-23.7","2.5","2.6","24.6","6.0","0.6"
"2013","Twins","-28.6","1.9","4.1","0.1","-26.8","4.2","3.3","24.1","4.8","0.5"
"2016","Athletics","-40.6","-1.7","-8.0","-3.8","-42.3","-11.8","5.1","35.8","-13.2","-1.3"
"2018","Royals","-26.8","-2.6","12.8","-2.4","-29.4","10.4","2.3","22.0","5.3","0.5"
"2018","Reds","-23.1","8.5","6.3","2.2","-14.6","8.5","0.9","17.2","12.0","1.2"
"2013","Braves","-27.1","5.0","-4.2","0.1","-22.1","-4.2","1.2","24.2","-0.8","-0.1"
"2019","Mariners","-37.8","8.8","-11.1","-1.4","-29.0","-12.5","4.0","31.9","-5.6","-0.5"
"2018","White Sox","-27.2","4.0","-6.0","0.4","-23.2","-5.6","2.5","23.3","-3.1","-0.3"
"2011","Blue Jays","-38.3","5.6","-8.5","-1.4","-32.7","-9.9","3.6","25.9","-13.1","-1.4"
"2017","White Sox","-35.3","2.9","-0.6","0.0","-32.4","-0.6","2.7","25.4","-4.8","-0.5"
"2014","Braves","-30.4","7.3","-4.4","1.8","-23.1","-2.7","1.6","22.7","-1.5","-0.2"
"2016","Astros","-30.3","-1.1","2.6","-0.8","-31.4","1.8","3.2","22.5","-3.8","-0.4"
"2013","Mets","-31.2","5.0","17.6","1.2","-26.1","18.9","1.2","24.9","18.8","2.0"
"2018","Rangers","-35.3","5.0","3.4","1.7","-30.3","5.1","2.1","19.5","-3.6","-0.4"
"2018","Marlins","-40.8","1.7","-1.9","-0.7","-39.2","-2.6","1.5","27.6","-12.6","-1.3"
"2019","Marlins","-51.3","6.5","0.7","2.3","-44.7","3.0","1.0","31.0","-9.7","-0.9"
"2014","Mariners","-29.5","9.5","-9.9","1.4","-20.0","-8.5","2.2","19.1","-7.2","-0.8"
"2019","Royals","-42.9","6.8","15.1","1.0","-36.0","16.2","2.4","19.1","1.7","0.2"
"2015","Reds","-49.0","15.6","2.7","1.3","-33.4","4.0","1.4","23.4","-4.7","-0.5"
"2011","Mariners","-43.7","3.2","7.4","0.3","-40.5","7.8","3.0","21.6","-8.2","-0.9"
