"Season","Team","Starting","Relieving","RAR","WAR"
"2016","Orioles","97.8","54.8","152.6","15.7"
"2012","Brewers","122.6","7.1","129.7","14.3"
"2016","Pirates","69.8","13.5","83.3","9.0"
"2017","Pirates","130.8","31.2","162.0","16.6"
"2010","Blue Jays","127.9","17.6","145.5","15.3"
"2010","Cubs","116.3","12.8","129.1","13.8"
"2016","Tigers","129.6","47.7","177.3","18.5"
"2013","Angels","78.8","13.7","92.5","10.1"
"2011","Indians","123.2","43.1","166.3","17.7"
"2019","Diamondbacks","108.8","28.0","136.8","13.9"
"2019","Mets","190.0","5.5","195.4","20.4"
"2015","Rangers","88.3","14.4","102.7","11.0"
"2014","Diamondbacks","61.1","14.1","75.3","8.2"
"2013","Blue Jays","52.2","34.9","87.1","9.5"
"2019","Nationals","204.3","8.3","212.6","22.3"
"2015","Brewers","62.3","29.4","91.8","9.9"
"2016","Angels","64.1","9.8","73.8","8.0"
"2010","Tigers","139.5","29.4","168.9","18.0"
"2010","Indians","85.5","9.3","94.8","9.7"
"2014","White Sox","92.6","-1.8","90.8","10.7"
"2012","Royals","77.8","66.8","144.6","15.1"
"2019","Yankees","106.9","76.2","183.1","18.2"
"2013","Mariners","109.8","30.2","139.9","15.7"
"2011","Blue Jays","84.2","17.8","101.9","10.7"
"2018","Rockies","131.5","31.8","163.3","17.3"
"2013","Phillies","111.0","7.8","118.9","13.7"
"2015","Red Sox","118.8","-11.2","107.6","11.8"
"2011","Cubs","71.2","27.3","98.4","11.0"
"2015","Reds","74.4","20.5","94.9","10.8"
"2019","Giants","39.5","35.0","74.6","7.6"
"2016","Rangers","92.9","25.2","118.1","12.6"
"2019","Brewers","86.1","40.8","126.9","12.9"
"2018","Padres","36.3","80.4","116.7","12.4"
"2015","Braves","66.8","-4.3","62.5","7.0"
"2017","Blue Jays","105.1","57.4","162.5","16.6"
"2013","Rockies","103.9","42.3","146.3","16.4"
"2011","Rockies","84.3","38.9","123.1","13.6"
"2016","Padres","56.2","24.9","81.2","8.6"
"2011","Royals","82.0","18.8","100.8","10.7"
"2017","Mariners","52.9","33.6","86.5","9.3"
"2014","Rangers","55.2","24.9","80.1","9.3"
"2017","Giants","99.1","14.6","113.7","11.4"
"2018","Twins","87.7","25.2","112.9","11.9"
"2016","Braves","43.3","41.0","84.3","9.0"
"2012","Cubs","62.6","-23.6","39.0","4.4"
"2011","Astros","65.9","-12.8","53.1","5.6"
"2017","Rockies","118.9","64.3","183.2","18.6"
"2016","Athletics","76.9","51.4","128.3","13.7"
"2019","Phillies","77.4","7.0","84.4","8.4"
"2013","Twins","51.0","55.1","106.1","11.5"
"2012","Astros","63.0","22.0","85.0","9.3"
"2017","Phillies","92.4","47.1","139.5","14.3"
"2014","Twins","101.4","23.5","124.9","14.3"
"2010","Brewers","51.4","17.0","68.4","7.4"
"2010","Orioles","74.3","20.8","95.1","9.8"
"2011","Twins","82.1","-9.1","73.0","7.7"
"2018","Tigers","69.0","23.6","92.6","9.6"
"2017","Twins","69.9","16.3","86.2","8.9"
"2019","Padres","101.8","54.3","156.1","15.6"
"2017","Royals","90.2","42.6","132.8","13.7"
"2015","Tigers","95.7","9.8","105.5","11.7"
"2016","Phillies","124.2","6.7","130.9","13.9"
"2012","Blue Jays","42.3","21.1","63.5","6.9"
"2018","Reds","53.9","22.8","76.7","8.1"
"2017","Athletics","72.8","19.5","92.4","9.6"
"2015","Phillies","53.2","38.1","91.2","10.3"
"2019","Red Sox","109.3","56.1","165.5","16.5"
"2017","Padres","69.3","5.8","75.2","7.9"
"2017","Rangers","83.8","25.1","108.9","11.2"
"2017","Braves","80.7","7.5","88.2","8.9"
"2012","Red Sox","42.6","17.7","60.2","6.4"
"2019","Marlins","83.0","-23.9","59.1","5.9"
"2018","Marlins","48.1","-23.7","24.4","2.7"
"2012","Twins","31.2","23.8","55.1","5.9"
"2017","White Sox","16.6","22.3","38.8","4.4"
"2012","Indians","71.1","50.5","121.6","12.6"
"2019","Blue Jays","71.5","17.8","89.2","9.1"
"2013","Astros","68.1","-49.9","18.2","2.2"
"2010","Diamondbacks","57.6","-35.0","22.6","2.7"
"2017","Marlins","36.3","18.0","54.4","5.5"
"2018","White Sox","44.7","50.2","94.9","9.9"
"2018","Blue Jays","66.2","18.7","84.9","8.8"
"2014","Rockies","60.9","3.1","64.0","7.2"
"2019","White Sox","94.8","27.3","122.1","12.3"
"2016","Reds","34.8","-31.5","3.3","1.0"
"2016","Rockies","107.6","17.1","124.7","13.1"
"2011","Orioles","31.8","11.2","43.0","4.9"
"2018","Rangers","56.9","47.0","103.9","10.8"
"2018","Royals","79.3","-17.7","61.7","6.4"
"2017","Orioles","58.3","25.5","83.8","8.6"
"2010","Royals","81.1","4.6","85.7","9.3"
"2019","Mariners","54.6","2.5","57.0","5.8"
"2010","Pirates","42.8","16.4","59.1","6.4"
"2017","Mets","74.1","5.8","80.0","8.7"
"2015","Rockies","48.4","26.2","74.6","8.3"
"2019","Rangers","114.2","22.3","136.5","14.2"
"2016","Twins","73.3","30.3","103.6","10.7"
"2016","Diamondbacks","85.6","10.4","96.0","10.1"
"2019","Angels","30.9","23.8","54.7","5.8"
"2017","Reds","33.9","14.3","48.2","5.3"
"2019","Pirates","82.4","4.5","86.9","8.8"
"2018","Orioles","44.5","26.0","70.6","7.3"
"2019","Royals","53.1","24.8","77.9","7.7"
"2012","Rockies","34.2","50.2","84.4","9.2"
"2019","Tigers","107.3","4.7","112.0","11.2"
"2017","Tigers","121.3","-9.3","112.0","11.5"
"2019","Rockies","63.1","0.6","63.8","6.7"
"2019","Orioles","47.4","1.3","48.7","5.5"
